Name,Type,Data Type,Address
Curved Belt Conveyor 6 CW,Output,Bool,Coil 162
Curved Belt Conveyor 7 CW,Output,Bool,Coil 163
Curved Belt Conveyor 8 CW,Output,Bool,Coil 164
Curved Belt Conveyor 1 CCW,Output,Bool,Coil 165
Curved Belt Conveyor 2 CCW,Output,Bool,Coil 166
Curved Belt Conveyor 9 CCW,Output,Bool,Coil 167
Curved Belt Conveyor 10 CW,Output,Bool,Coil 168
Curved Belt Conveyor 11 CW,Output,Bool,Coil 169
Curved Belt Conveyor 13 CW,Output,Bool,Coil 170
Curved Belt Conveyor 14 CW,Output,Bool,Coil 171
Curved Belt Conveyor 12 CCW,Output,Bool,Coil 172
Curved Belt Conveyor 15 CCW,Output,Bool,Coil 173
Curved Belt Conveyor 16 CCW,Output,Bool,Coil 174
Curved Roller Conveyor 1 CW,Output,Bool,Coil 175
Curved Roller Conveyor 4 CW,Output,Bool,Coil 176
Curved Roller Conveyor 2 CCW,Output,Bool,Coil 177
Curved Roller Conveyor 3 CCW,Output,Bool,Coil 178
Machining Center 1 (Stop),Output,Bool,Coil 179
Machining Center 2 (Stop),Output,Bool,Coil 180
Machining Center 3 (Stop),Output,Bool,Coil 181
Machining Center 4 (Stop),Output,Bool,Coil 182
Machining Center 1 (Reset),Output,Bool,Coil 183
Machining Center 1 (Start),Output,Bool,Coil 184
Machining Center 2 (Reset),Output,Bool,Coil 185
Machining Center 2 (Start),Output,Bool,Coil 186
Machining Center 3 (Reset),Output,Bool,Coil 187
Machining Center 3 (Start),Output,Bool,Coil 188
Machining Center 4 (Reset),Output,Bool,Coil 189
Machining Center 4 (Start'),Output,Bool,Coil 190
MCBR_PRODUCE_LID,Output,Bool,Coil 191
MCB_PRODUCE_LID,Output,Bool,Coil 192
MCLR_PRODUCE_LID,Output,Bool,Coil 193
MCL_PRODUCE_LID,Output,Bool,Coil 194
Pick & Place 1 C(+),Output,Bool,Coil 195
Pick & Place 2 C(+),Output,Bool,Coil 196
Pick & Place 3 C(+),Output,Bool,Coil 197
Pick & Place 4 C(+),Output,Bool,Coil 198
Pivot Arm Sorter 2 Turn,Output,Bool,Coil 199
Pivot Arm Sorter 4 Turn,Output,Bool,Coil 200
Pivot Arm Sorter 1 Belt (-),Output,Bool,Coil 201
Pivot Arm Sorter 2 Belt (+),Output,Bool,Coil 202
Pivot Arm Sorter 2 Belt (-),Output,Bool,Coil 203
Pivot Arm Sorter 3 Belt (-),Output,Bool,Coil 204
Pivot Arm Sorter 4 Belt (+),Output,Bool,Coil 205
Pivot Arm Sorter 4 Belt (-),Output,Bool,Coil 206
Pivot Arm Sorter 5 Belt (+),Output,Bool,Coil 207
Pivot Arm Sorter 5 Belt (-),Output,Bool,Coil 208
Pivot Arm Sorter 6 Belt (+),Output,Bool,Coil 209
Pivot Arm Sorter 6 Belt (-),Output,Bool,Coil 210
Pop Up Wheel Sorter 1 (Left),Output,Bool,Coil 211
Pop Up Wheel Sorter 2 (Left),Output,Bool,Coil 212
Pop Up Wheel Sorter 3 (Right),Output,Bool,Coil 213
Pop Up Wheel Sorter 4 (Right),Output,Bool,Coil 214
Remover 1 (Remove),Output,Bool,Coil 215
Remover 2 (Remove),Output,Bool,Coil 216
Remover 3 (Remove),Output,Bool,Coil 217
Remover 4 (Remove),Output,Bool,Coil 218
Reset Button 1 (Light),Output,Bool,Coil 219
Reset Button 2 (Light),Output,Bool,Coil 220
Right Positioner 3 (Raise),Output,Bool,Coil 221
Right Positioner 6 (Raise),Output,Bool,Coil 222
Roller Conveyor (2m) 1,Output,Bool,Coil 223
Roller Conveyor (2m) 2,Output,Bool,Coil 224
Roller Conveyor (2m) 3,Output,Bool,Coil 225
Roller Conveyor (2m) 4,Output,Bool,Coil 226
Roller Conveyor (2m) 5,Output,Bool,Coil 227
Roller Conveyor (2m) 6,Output,Bool,Coil 228
Roller Conveyor (6m) 2,Output,Bool,Coil 229
Roller Conveyor (6m) 3,Output,Bool,Coil 230
Start Button 1 (Light),Output,Bool,Coil 231
Start Button 2 (Light),Output,Bool,Coil 232
Stop Blade 2,Output,Bool,Coil 233
Stop Blade 3,Output,Bool,Coil 234
Stop Button 1 (Light),Output,Bool,Coil 235
Stop Button 2 (Light),Output,Bool,Coil 236
Straight Spur Conveyor 1 (+),Output,Bool,Coil 237
Straight Spur Conveyor 1 (-),Output,Bool,Coil 238
Straight Spur Conveyor 2 (+),Output,Bool,Coil 239
Straight Spur Conveyor 2 (-),Output,Bool,Coil 240
FACTORY I/O (Pause),Output,Bool,Coil 250
FACTORY I/O (Reset),Output,Bool,Coil 251
FACTORY I/O (Run),Output,Bool,Coil 252
CS_AL1_W,Input,Real,Input Reg 0
AL1_X_POS,Input,Real,Input Reg 1
AL1_Y_POS,Input,Real,Input Reg 2
AL1_Z_POS,Input,Real,Input Reg 3
AL1_ST_X_POS,Input,Real,Input Reg 4
AL1_ST_Y_POS,Input,Real,Input Reg 5
AL1_ST_Z_POS,Input,Real,Input Reg 6
CS_AL2_W,Input,Real,Input Reg 7
AL2_X_POS,Input,Real,Input Reg 8
AL2_Y_POS,Input,Real,Input Reg 9
AL2_Z_POS,Input,Real,Input Reg 10
AL2_ST_X_POS,Input,Real,Input Reg 11
AL2_ST_Y_POS,Input,Real,Input Reg 12
AL2_ST_Z_POS,Input,Real,Input Reg 13
AL1_X_SET,Output,Real,Holding Reg 0
AL1_Y_SET,Output,Real,Holding Reg 1
AL1_Z_SET,Output,Real,Holding Reg 2
AL1_ST_X_SET,Output,Real,Holding Reg 3
AL1_ST_Y_SET,Output,Real,Holding Reg 4
AL1_ST_Z_SET,Output,Real,Holding Reg 5
AL1_G_SC_TG,Output,Int,Holding Reg 6
AL2_X_SET,Output,Real,Holding Reg 7
AL2_Y_SET,Output,Real,Holding Reg 8
AL2_Z_SET,Output,Real,Holding Reg 9
AL2_ST_X_SET,Output,Real,Holding Reg 10
AL2_ST_Y_SET,Output,Real,Holding Reg 11
AL2_ST_Z_SET,Output,Real,Holding Reg 12
AL2_G_SC_TG,Output,Int,Holding Reg 13
